"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Kcnd1","Group_safe",0.384897996286961,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09006893102153,0.124419367386233
"Kcne2","Group_safe",0.810490989816954,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.2302092776182,0.298903761173896
"Kcne4","Group_safe",0.718701710726463,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07330072631935,0.102054359023771
"Kcnf1","Group_safe",0.207967823602064,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.13948811673264,0.188385879390152
"Kcng2","Group_safe",0.992157663486637,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.993388609275319,-0.00956989072971312
"Kcnh1","Group_safe",0.595877726804338,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0816236507855,0.113198603051064
"Kcnh2","Group_safe",0.189284087424452,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.20850298551564,0.273221037177381
"Kcnh7","Group_safe",0.13163675797256,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.78365062497043,0.834833053047305
"Kcnip3","Group_safe",0.425055544092549,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.34119433879408,0.423518298614936
"Kcnip4","Group_safe",0.774327480330873,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.08825595508121,0.122017914766404
"Kcnj11","Group_safe",0.294272793186978,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.592240110741641,-0.755745891422885
"Kcnj12","Group_safe",0.603216958951645,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.919941931644383,-0.120385296296665
"Kcnj13","Group_safe",0.920577910065282,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.945855606159173,-0.0803081356123489
"Kcnj16","Group_safe",0.629181214892452,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.907480532363573,-0.140061400719783
