"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__C21_c20","Group",0.771423592327922,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.31221719457014,0.392006530623503
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;__;__","Group",0.7460718046991,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.421985815602837,-1.24473358909085
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__D168","Group",0.608154382725495,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",7.20477815699659,2.84895400892491
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae","Group",0.872302515582569,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.16152019002375,0.216014231885837
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__","Group",0.00857437340195575,0.297959475717962,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",25.3333333333333,4.66296501272243
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava","Group",0.421200012895878,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.15638766519824,0.20962512526257
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__","Group",0.540999467389351,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.650753768844221,-0.619816332857095
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;__;__","Group",0.932817238745305,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.666666666666667,-0.584962500721156
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__","Group",0.924781066792687,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.27653631284916,0.352234577793813
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar","Group",0.167236384822527,0.92983429961325,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.86015831134565,0.895425409115064
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__","Group",0.770705362636027,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.895206766917293,-0.159707153120505
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__","Group",0.482804012934802,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.21167883211679,0.277007348386398
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__","Group",0.0649599830881715,0.747100640345813,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.25324675324675,1.17200531188336
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__","Group",0.199306926702529,0.989416528987555,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.72912423625255,0.790041529238345
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens","Group",0.195571907429272,0.989416528987555,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.579884393063584,-0.78616278460941
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__","Group",0.655416989004012,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.43333333333333,0.519374159093579
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__","Group",0.549320652639266,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.10709010339734,0.146772644372863
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__","Group",0.804422545189041,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",6.12698412698413,2.61517711376816
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius","Group",0.983531453020574,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.309037900874636,-1.69414431160961
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__","Group",0.98413603893266,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.876427829698858,-0.190292799136274
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__;__","Group",0.975299372023079,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.04878048780488,0.0687127500840143
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__","Group",0.509679121576372,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.65979381443299,0.731004035927489
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius","Group",0.570391430568379,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.35611318739989,0.439477597416483
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__","Group",0.432826040208784,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.43636363636364,0.522421034652443
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__","Group",0.753458051697423,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.26843657817109,0.343051386453117
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__","Group",0.655412314344347,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.69776119402985,0.763633544628286
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__","Group",0.573107677346831,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.433151432469304,-1.20705660647428
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta","Group",0.94800857042375,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.0863309352518,1.06096801729143
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus","Group",0.0275385848815259,0.478482912316512,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.3068669527897,-1.70431480787589
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__callidus","Group",0.325478637121559,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.52362204724409,1.33549585984658
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__","Group",0.00303828220518443,0.240184951530763,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",7.3469387755102,2.87714325221447
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__","Group",0.306918354596886,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.39663093415008,0.481950832618311
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__","Group",0.568273798862139,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.748387096774194,-0.418143410146665
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae","Group",0.725386263345135,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.07524752475248,0.104668810165205
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__","Group",0.828299394503131,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.15070921985816,1.10481248272172
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii","Group",0.0755597006465131,0.747100640345813,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.637276435519297,-0.6500087794817
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum","Group",0.876968770849312,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",7.11363636363636,2.83058722829532
